,title,region,version,crc32,status,Project Lunar Version,notes,EXTRA FILES,,,,,,,,,,,,,,,,,
,Back to the Future Part III,USA,,66A388C3,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Bad Omen,"Japan, Korea",,975693CE,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Bahamut Senki,Japan,,B1E268DA,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Ball Jacks,"Japan, Europe",,F5C3C54F,Doesn't Work,1.0.7251.40474,"Black screen, needs to shutdown after",,,,,,,,,,,,,,,,,,
,Ball Jacks,"Japan, Europe",h1C,17EA531F,Works,1.0.25.41117,Force Japan (NTSC),,,,,,,,,,,,,,,,,,
,Ball Jacks,"Japan, Europe",h2C,E5AA7987,Works,1.0.25.41117,Force Japan (NTSC),,,,,,,,,,,,,,,,,,
,Ball Jacks,"Japan, Europe",h3C,7243338E,Works,1.0.25.41117,Force Japan (NTSC),,,,,,,,,,,,,,,,,,
,Ball Jacks,"Japan, Europe",h4C,0783EFD7,Doesn't Work,1.0.25.41117,"E3: Please Shutdown, E4: Please Shutdown",,,,,,,,,,,,,,,,,,
,Ballz,"USA, Europe",f1,47F08B56,Doesn't Work,1.0.25.41117,Black Screen,,,,,,,,,,,,,,,,,,
,Ballz,"USA, Europe",h1C,BBC8C44F,Doesn't Work,1.0.25.41117,Black Screen,,,,,,,,,,,,,,,,,,
,Ballz,"USA, Europe",h2C,5B87ACA1,Doesn't Work,1.0.25.41117,Black Screen,,,,,,,,,,,,,,,,,,
,Ballz,"USA, Europe",h3C,DC3638D4,Doesn't Work,1.0.25.41117,Black Screen,,,,,,,,,,,,,,,,,,
,Ballz 3D - Fighting at Its Ballziest ~ Ballz 3D - The Battle of the Ballz,"USA, Europe",,B362B705,Doesn't Work,1.0.7251.40474,Black screen,,,,,,,,,,,,,,,,,,
,Barbie Super Model,USA,,81C9662B,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Bare Knuckle - Ikari no Tekken ~ Streets of Rage,World,,BFF227C6,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Bare Knuckle - Ikari no Tekken ~ Streets of Rage,World,Rev A,4052E845,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Bare Knuckle II - Shitou e no Requiem ~ Streets of Rage II,"Japan, Europe",,42E3EFDC,Works,1.0.7251.40474,Force Japan (NTSC),,,,,,,,,,,,,,,,,,
,Bare Knuckle III,Japan,,5D09236F,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Barkley Shut Up and Jam 2,USA,,321BB6BD,Works,1.0.7251.40474,Image is downscaled ,,,,,,,,,,,,,,,,,,
,Barkley Shut Up and Jam!,"USA, Europe",,63FBF497,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Barney's Hide & Seek Game,USA,,1EFA9D53,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Bass Masters Classic,USA,,CF1FF00A,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Bass Masters Classic - Pro Edition,USA,,9EDDEB3D,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Batman,Europe,,61C60C35,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Batman,Japan,,D7B4FEBF,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Batman - Revenge of the Joker,USA,,CAA044A1,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Batman - The Video Game,USA,,017410AE,Works,,,,,,,,,,,,,,,,,,,,
